Date,Price
01/22/19,55.5
01/23/19,54.7
01/24/19,55.8
01/25/19,56.3
01/28/19,57.5
01/29/19,57.9
01/30/19,58
01/31/19,57.8
02/01/19,58.7
02/04/19,59
02/05/19,59.5
02/06/19,60.2
02/07/19,58.5
02/08/19,59
02/11/19,59.4
02/12/19,59.9
02/13/19,59.2
02/14/19,59.9
02/15/19,61.7
02/18/19,61.3
02/19/19,61.2
02/20/19,62.6
02/21/19,61.8
02/22/19,62.5
02/25/19,62.9
02/26/19,62.3
02/27/19,62
02/28/19,61.4
03/01/19,62
03/04/19,62.3
03/05/19,62.4
03/06/19,60.8
03/07/19,59.1
03/08/19,59.1
03/11/19,59.8
03/12/19,60
03/13/19,60.4
03/14/19,61.1
03/15/19,61.4
03/18/19,61.5
03/19/19,62.8
03/20/19,61.6
03/21/19,62
03/22/19,60.4
03/25/19,60.3
03/26/19,60.5
03/27/19,60.3
03/28/19,60.6
03/29/19,61.3
04/01/19,63.8
04/02/19,64.4
04/03/19,66
04/04/19,64.7
04/05/19,66.3
04/08/19,66.1
04/09/19,65.9
04/10/19,66.3
04/11/19,66.5
04/12/19,67.6
04/15/19,67.4
04/16/19,67.7
04/17/19,68.5
04/18/19,69.3
04/23/19,69.8
04/24/19,70.1
04/25/19,73.6
04/26/19,72
04/29/19,72.9
04/30/19,72.4
05/02/19,70.8
05/03/19,71.6
05/06/19,70.3
05/07/19,69.1
05/08/19,69.5
05/09/19,68
05/10/19,68.5
05/13/19,66
05/14/19,66.9
05/15/19,67.1
05/16/19,69.3
05/17/19,68.4
05/20/19,66.8
05/21/19,68.2
05/22/19,67.7
05/23/19,64.9
05/24/19,65.2
05/27/19,64.8
05/28/19,64.9
05/29/19,63.8
05/31/19,62.8
06/03/19,63.4
06/04/19,63.9
06/05/19,64.3
06/07/19,65.3
06/10/19,66.3
06/11/19,68.2
06/12/19,68.7
06/13/19,69.9
06/14/19,68.9
06/17/19,68.6
06/18/19,70.2
06/19/19,69.8
06/20/19,72.3
06/24/19,71.5
06/25/19,71.9
06/26/19,71.7
06/27/19,71.8
06/28/19,72.8
07/01/19,74
07/02/19,74.1
07/03/19,73.7
07/04/19,73.6
07/05/19,71.4
07/08/19,71.6
07/09/19,70.5
07/10/19,69.6
07/11/19,68.6
07/12/19,68.9
07/15/19,70
07/16/19,70
07/17/19,70.3
07/18/19,69.1
07/19/19,71
07/22/19,71.2
07/23/19,72.9
07/24/19,72.9
07/25/19,72.6
07/26/19,73.1
07/29/19,73.1
07/30/19,72.5
07/31/19,72.9
08/01/19,73.6
08/02/19,70.2
08/05/19,67.3
08/06/19,66
08/07/19,65.8
08/08/19,67.3
08/09/19,66.1
08/12/19,66.3
08/13/19,67.2
08/14/19,65.3
08/15/19,65
08/16/19,66.1
08/19/19,67.5
08/20/19,67.3
08/21/19,68.3
08/22/19,67.8
08/23/19,67
08/26/19,66.3
08/27/19,67.4
08/28/19,67.5
08/29/19,70.2
08/30/19,71.9
09/02/19,72
09/03/19,71.7
09/04/19,72.5
09/05/19,72.8
09/06/19,73.2
09/09/19,73.6
09/10/19,74.6
09/11/19,76.1
09/12/19,76.3
09/13/19,77.8
09/16/19,77.6
09/17/19,76.5
09/18/19,77.1
09/19/19,77.3
09/20/19,77.5
09/23/19,76.4
09/24/19,75.8
09/25/19,74
09/26/19,74.6
09/27/19,74.8
09/30/19,74.4
10/01/19,73.4
10/02/19,71.8
10/03/19,72.1
10/04/19,72
10/07/19,72.3
10/08/19,71.6
10/09/19,72.5
10/10/19,72.5
10/11/19,73.7
10/14/19,73.9
