Date,Price
1/22/2019,99.9
1/23/2019,100.1
1/24/2019,99.9
1/25/2019,99.6
1/28/2019,97.5
1/29/2019,98.5
1/30/2019,99.2
1/31/2019,99.3
2/1/2019,100.6
2/4/2019,101
2/5/2019,101.8
2/6/2019,102.1
2/7/2019,100.8
2/8/2019,100.5
2/11/2019,101.9
2/12/2019,102.1
2/13/2019,102.8
2/14/2019,102
2/15/2019,103
2/18/2019,103.2
2/19/2019,103.7
2/20/2019,104.8
2/21/2019,104.5
2/22/2019,104.8
2/25/2019,103.8
2/26/2019,103.5
2/27/2019,102.5
2/28/2019,103.1
3/1/2019,103
3/4/2019,104.4
3/5/2019,104.2
3/6/2019,102.7
3/7/2019,102
3/8/2019,101.6
3/11/2019,102
3/12/2019,102.2
3/13/2019,102.5
3/14/2019,103.7
3/15/2019,104.5
3/18/2019,105
3/19/2019,105.6
3/20/2019,105.5
3/21/2019,105
3/22/2019,104
3/25/2019,103.8
3/26/2019,103.3
3/27/2019,104.1
3/28/2019,104.7
3/29/2019,104.7
4/1/2019,107
4/2/2019,107.5
4/3/2019,108.7
4/4/2019,108.1
4/5/2019,108.2
4/8/2019,107.9
4/9/2019,107.4
4/10/2019,107.4
4/11/2019,107.3
4/12/2019,107.7
4/15/2019,108.5
4/16/2019,108.8
4/17/2019,109.2
4/18/2019,109.7
4/23/2019,109.1
4/24/2019,109.2
4/25/2019,111
4/26/2019,112.5
4/29/2019,112.6
4/30/2019,113.2
5/2/2019,112.5
5/3/2019,113.1
5/6/2019,110.7
5/7/2019,109.8
5/8/2019,110.9
5/9/2019,106.7
5/10/2019,107.6
5/13/2019,105.4
5/14/2019,107.9
5/15/2019,108.2
5/16/2019,110
5/17/2019,109.7
5/20/2019,108.7
5/21/2019,108.9
5/22/2019,108.7
5/23/2019,106.5
5/24/2019,107.9
5/27/2019,107.5
5/28/2019,106.3
5/29/2019,105
5/31/2019,102.6
6/3/2019,104
6/4/2019,105.2
6/5/2019,105.5
6/7/2019,106.4
6/10/2019,108
6/11/2019,109.3
6/12/2019,109.6
6/13/2019,110
6/14/2019,109.8
6/17/2019,110.5
6/18/2019,112.4
6/19/2019,113.5
6/20/2019,113.8
6/24/2019,112.8
6/25/2019,112.1
6/26/2019,111.8
6/27/2019,111.1
6/28/2019,111.5
7/1/2019,112.3
7/2/2019,113
7/3/2019,114
7/4/2019,114.6
7/5/2019,114
7/8/2019,115.4
7/9/2019,115.2
7/10/2019,115
7/11/2019,114
7/12/2019,114
7/15/2019,114.2
7/16/2019,113.7
7/17/2019,114.5
7/18/2019,114
7/19/2019,115.2
7/22/2019,114
7/23/2019,115.9
7/24/2019,115.3
7/25/2019,114.4
7/26/2019,114.9
7/29/2019,115.6
7/30/2019,115
7/31/2019,115.2
8/1/2019,116.7
8/2/2019,113.8
8/5/2019,110.5
8/6/2019,109.8
8/7/2019,110
8/8/2019,111.2
8/9/2019,109.9
8/12/2019,110
8/13/2019,109.9
8/14/2019,108.2
8/15/2019,107.5
8/16/2019,109
8/19/2019,110.2
8/20/2019,110.8
8/21/2019,111.9
8/22/2019,111.6
8/23/2019,110.7
8/26/2019,110
8/27/2019,111
8/28/2019,111.2
8/29/2019,112.7
8/30/2019,115
9/2/2019,115.5
9/3/2019,115.6
9/4/2019,115.8
9/5/2019,115.4
9/6/2019,115.8
9/9/2019,115.2
9/10/2019,115
9/11/2019,116
9/12/2019,117.1
9/13/2019,118.3
9/16/2019,116.8
9/17/2019,117
9/18/2019,117.9
9/19/2019,119.3
9/20/2019,119.7
9/23/2019,117.7
9/24/2019,117.8
9/25/2019,116.9
9/26/2019,118.6
9/27/2019,119.3
9/30/2019,120.3
10/1/2019,119.7
10/2/2019,116
10/3/2019,114.8
10/4/2019,115.8
10/7/2019,116.9
10/8/2019,116.6
10/9/2019,117.7
10/10/2019,117.7
10/11/2019,118.6
10/14/2019,119.1
10/15/2019,119.8
10/16/2019,119.7
10/17/2019,120.2
10/18/2019,121
10/21/2019,122.1
10/22/2019,122.5
10/23/2019,122.5
10/24/2019,123
10/25/2019,123.2
10/28/2019,123.4
10/29/2019,123.7
10/30/2019,124.7
10/31/2019,123.6
11/1/2019,124.1
11/4/2019,126.2
11/5/2019,126
11/6/2019,126.5
11/7/2019,126.7
11/8/2019,127.3
11/11/2019,126.5
11/12/2019,128.4
11/13/2019,127.8
11/14/2019,128.5
11/15/2019,127.5
11/18/2019,127
11/19/2019,126.2
11/20/2019,125.8
11/21/2019,124.5
11/22/2019,125.2
11/25/2019,126
11/26/2019,126.5
11/27/2019,126.7
11/28/2019,126.3
11/29/2019,126.5
12/2/2019,124.5
12/3/2019,123.1
12/4/2019,124.7
12/5/2019,125.5
12/6/2019,127.6
12/9/2019,128.3
12/10/2019,128.2
12/11/2019,129.4
12/12/2019,129.7
12/13/2019,128.3
12/16/2019,130
12/17/2019,129.8
12/18/2019,128.9
12/19/2019,128.8
12/20/2019,130.3
12/23/2019,129.8
12/27/2019,129.4
12/30/2019,127.8
1/2/2020,130.8
1/3/2020,129.3
1/7/2020,129.5
1/8/2020,129.4
1/9/2020,130.5
1/10/2020,130
1/13/2020,130.2
1/14/2020,130.6
1/15/2020,130.8
1/16/2020,133.2
1/17/2020,134.6
1/20/2020,134.2
1/21/2020,134.2
1/22/2020,134.1
1/23/2020,132.8
1/24/2020,134.9
1/27/2020,131.7
1/28/2020,134.3
1/29/2020,134.7
1/30/2020,133.5
1/31/2020,132.1
2/3/2020,133.1
2/4/2020,136.8
2/5/2020,138.9
2/6/2020,138.6
2/7/2020,138.3
2/10/2020,138.9
2/11/2020,140.3
2/12/2020,139.8
2/13/2020,140.2
2/14/2020,140.8
2/17/2020,141.1
2/18/2020,140.3
2/19/2020,141.3
2/20/2020,140.9
2/21/2020,139.8
2/24/2020,132.7
2/25/2020,129.4
2/26/2020,129.1
2/27/2020,123.7
2/28/2020,119.3
3/2/2020,121.3
3/3/2020,123.5
3/4/2020,125.5
3/5/2020,124.8
3/6/2020,120.7
3/9/2020,114.5
3/10/2020,114.2
3/11/2020,113.2
3/12/2020,100
3/13/2020,102.2
3/16/2020,97.2
3/17/2020,97.5
3/18/2020,97.8
3/19/2020,103
3/20/2020,100.5
3/23/2020,95.8
3/24/2020,105
3/25/2020,108.9
3/26/2020,110.4
3/27/2020,108.9
3/30/2020,112.1
3/31/2020,114.3
4/1/2020,110.5
4/2/2020,109.8
4/3/2020,108.5
4/6/2020,113.4
4/7/2020,118
4/8/2020,119.2
4/9/2020,115.7
4/14/2020,121.1
4/15/2020,117.7
4/16/2020,117.3
4/17/2020,121.5
4/20/2020,121.6
4/21/2020,119.5
4/22/2020,120.5
4/23/2020,121.8
4/24/2020,119.2
4/27/2020,120
4/28/2020,121.1
4/29/2020,124.4
4/30/2020,122.8
5/4/2020,116
5/5/2020,118.4
5/6/2020,116.7
5/7/2020,118.8
5/8/2020,120.9
5/11/2020,119.1
5/12/2020,120
5/13/2020,116.4
5/14/2020,112
5/15/2020,114.7
5/18/2020,119.9
5/19/2020,120.6
5/20/2020,120.2
5/22/2020,119.7
5/25/2020,123.1
5/26/2020,123.8
5/27/2020,122.4
5/28/2020,125.2
5/29/2020,125.2
6/1/2020,125.2
6/2/2020,126.3
6/3/2020,129.9
6/4/2020,129
6/5/2020,131.8
6/8/2020,130.2
6/9/2020,129.2
6/10/2020,128.5
6/11/2020,121.1
6/12/2020,120.8
6/15/2020,123.3
6/16/2020,128.1
6/17/2020,128.7
6/18/2020,125.9
6/22/2020,122.8
6/23/2020,123.5
6/24/2020,120.6
6/25/2020,121.8
6/26/2020,122.1
6/29/2020,123.5
6/30/2020,122.9
7/1/2020,123.2
7/2/2020,125.6
7/3/2020,124.5
7/6/2020,127.3
7/7/2020,126.8
7/8/2020,126.5
7/9/2020,125.6
7/10/2020,126.5
7/13/2020,128.8
7/14/2020,127.7
7/15/2020,129.9
7/16/2020,128.8
7/17/2020,129.7
7/20/2020,131.3
7/21/2020,131.3
7/22/2020,132.8
7/23/2020,133.2
7/24/2020,130.7
7/27/2020,131.3
7/28/2020,130.7
7/29/2020,131.6
7/30/2020,128.6
7/31/2020,129.2
8/3/2020,133.4
8/4/2020,131.3
8/5/2020,133.1
8/6/2020,132.5
8/7/2020,133.4
8/10/2020,133.3
8/11/2020,135.7
8/12/2020,136.2
8/13/2020,135.6
8/14/2020,134.1
8/17/2020,136.1
8/18/2020,136
8/19/2020,137.5
8/20/2020,137.1
8/21/2020,137.4
8/24/2020,139.2
8/25/2020,139.1
8/26/2020,140.8
8/27/2020,140.2
8/28/2020,138.1
8/31/2020,137.8
9/1/2020,138.7
9/2/2020,140.3
9/3/2020,138.5
9/4/2020,137.3
9/7/2020,140.4
9/8/2020,139.3
9/9/2020,143.2
9/10/2020,142.2
9/11/2020,141.9
9/14/2020,142.3
9/15/2020,143
9/16/2020,145.3
9/17/2020,143.9
9/18/2020,146.2
9/21/2020,140.8
9/22/2020,141.3
9/23/2020,141.9
9/24/2020,141.5
9/25/2020,143.2
9/28/2020,147.3
9/29/2020,147.1
9/30/2020,146.8
10/1/2020,144.8
10/2/2020,143.4
10/5/2020,144.9
10/6/2020,143.2
10/7/2020,142.5
10/8/2020,142
10/9/2020,141.5
10/12/2020,142.9
10/13/2020,141.4
10/14/2020,141.7
10/15/2020,139.2
10/16/2020,141.9
10/19/2020,141.8
10/20/2020,141.7
10/21/2020,139.3
10/22/2020,140.7
10/23/2020,141.4
10/26/2020,137.7
10/27/2020,136.9
10/28/2020,133.9
10/29/2020,133.8
10/30/2020,133.6
11/2/2020,135.4
11/3/2020,138.3
11/4/2020,141.7
11/5/2020,143.3
11/6/2020,143.7
11/9/2020,148.3
11/10/2020,147.4
11/11/2020,149.6
11/12/2020,148.3
11/13/2020,148.6
11/16/2020,148.5
11/17/2020,149.1
11/18/2020,150.1
11/19/2020,149.5
11/20/2020,149.8
11/23/2020,148.6
11/24/2020,149.2
11/25/2020,148.8
11/26/2020,149.4
11/27/2020,148.8
11/30/2020,148.4
12/1/2020,148.1
12/2/2020,148.6
12/3/2020,147.4
12/4/2020,147.8
12/7/2020,147.7
12/8/2020,149.4
12/9/2020,148.2
12/10/2020,147.3
12/11/2020,146.4
12/14/2020,146.8
12/15/2020,147
12/16/2020,146.9
12/17/2020,148.4
12/18/2020,147.4
12/21/2020,144.1
12/22/2020,145.3
12/23/2020,146
12/28/2020,148.7
12/29/2020,150.3
12/30/2020,149.8
1/4/2021,152.5
1/5/2021,150.1
1/7/2021,152.8
1/8/2021,155.2
1/11/2021,153.4
1/12/2021,153.9
1/13/2021,153.8
1/14/2021,155.2
1/15/2021,154.8
1/18/2021,155.6
1/19/2021,155
1/20/2021,156
1/21/2021,156.8
1/22/2021,156.2
1/25/2021,155.9
1/26/2021,159.2
1/27/2021,157.7
1/28/2021,155.6
1/29/2021,153.6
2/1/2021,158.6
2/2/2021,160.6
2/3/2021,159.8
2/4/2021,160.3
2/5/2021,159
2/8/2021,158.8
2/9/2021,159.3
2/10/2021,158.9
2/11/2021,162.1
2/12/2021,162.7
2/15/2021,162.7
2/16/2021,161.4
2/17/2021,158.6
2/18/2021,157.8
2/19/2021,158.5
2/22/2021,157.2
2/23/2021,156.9
2/24/2021,158.1
2/25/2021,158.3
2/26/2021,156.2
3/1/2021,160.7
3/2/2021,161.8
3/3/2021,161.2
3/4/2021,162.4
3/5/2021,160.7
3/8/2021,165.6
3/9/2021,166.5
3/10/2021,167.7
3/11/2021,170.9
3/12/2021,170.8
3/15/2021,169.3
3/16/2021,171.2
3/17/2021,170.9
3/18/2021,169.4
3/19/2021,168.3
3/22/2021,170
3/23/2021,170.3
3/24/2021,171.1
3/25/2021,171.6
3/26/2021,173.5
3/29/2021,171.2
3/30/2021,174.2
3/31/2021,174.1
4/1/2021,175.9
4/6/2021,177.3
4/7/2021,177.4
4/8/2021,176.9
4/9/2021,178.7
4/12/2021,178.2
4/13/2021,180.3
4/14/2021,179
4/15/2021,179.8
4/16/2021,182.8
4/19/2021,182
4/20/2021,177.4
4/21/2021,179
4/22/2021,178
4/23/2021,178.5
4/26/2021,179
4/27/2021,180.1
4/28/2021,180
4/29/2021,180.8
4/30/2021,179.7
5/3/2021,181.2
5/4/2021,177.4
5/5/2021,182.9
5/6/2021,181.3
5/7/2021,181.7
5/10/2021,182.4
5/11/2021,177.4
5/12/2021,177.8
5/14/2021,182.5
5/17/2021,182.8
5/18/2021,186.2
5/19/2021,184.5
5/20/2021,189.3
5/21/2021,188.7
5/24/2021,188.8
5/25/2021,188.3
5/26/2021,188
5/27/2021,188.3
5/28/2021,190.9
5/31/2021,191.6
6/1/2021,192.4
6/2/2021,192.5
6/3/2021,194.2
6/4/2021,194.8
6/7/2021,194.2
6/8/2021,194.9
6/9/2021,194.9
6/10/2021,194.8
6/11/2021,195.9
6/14/2021,195.8
6/15/2021,195.7
6/16/2021,196.5
6/17/2021,195.3
6/18/2021,194.9
6/21/2021,196.5
6/22/2021,197.2
6/23/2021,194.2
6/24/2021,197.1
6/28/2021,196.5
6/29/2021,198.8
6/30/2021,197.2
7/1/2021,198.7
7/2/2021,199.9
7/5/2021,201.3
7/6/2021,200.9
7/7/2021,205.9
7/8/2021,202.4
7/9/2021,205.2
7/12/2021,208.4
7/13/2021,209.3
7/14/2021,209.2
7/15/2021,209.1
7/16/2021,211.3
7/19/2021,203.3
7/20/2021,205.6
7/21/2021,210.5
7/22/2021,213.7
7/23/2021,216.2
7/26/2021,215.1
7/27/2021,213.6
7/28/2021,213.5
7/29/2021,214.9
7/30/2021,213.3
8/2/2021,214.6
8/3/2021,214.3
8/4/2021,218
8/5/2021,218.5
8/6/2021,215.5
8/9/2021,216.2
8/10/2021,217.5
8/11/2021,218.4
8/12/2021,218
8/13/2021,218
