Date,Price
01/22/19,117.09
01/23/19,115.51
01/24/19,115.61
01/25/19,119.67
01/28/19,119
01/29/19,120.91
01/30/19,120.82
01/31/19,124.3
02/01/19,124.83
02/04/19,124.97
02/05/19,125.36
02/06/19,126.31
02/07/19,123.73
02/08/19,122.73
02/11/19,123.92
02/12/19,126.5
02/13/19,126.41
02/14/19,127.03
02/15/19,129.28
02/18/19,128.51
02/19/19,128.27
02/20/19,132.14
02/21/19,131.57
02/22/19,132.38
02/25/19,132.38
02/26/19,132.19
02/27/19,130.61
02/28/19,129.99
03/01/19,130.47
03/04/19,132.14
03/05/19,131.81
03/06/19,130.23
03/07/19,128.75
03/08/19,127.84
03/11/19,129.66
03/12/19,128.61
03/13/19,129.99
03/14/19,130.52
03/15/19,131.14
03/18/19,131.09
03/19/19,134.77
03/20/19,133.34
03/21/19,132.86
03/22/19,128.8
03/25/19,127.12
03/26/19,129.8
03/27/19,133.19
03/28/19,134.91
03/29/19,137.64
04/01/19,141.9
04/02/19,142.7
04/03/19,146.58
04/04/19,137.16
04/05/19,139.36
04/08/19,138.88
04/09/19,136.92
04/10/19,138.16
04/11/19,138.69
04/12/19,140.6
04/15/19,140.03
04/16/19,140.65
04/17/19,141.84
04/18/19,143.37
04/23/19,141.22
04/24/19,145.29
04/25/19,146.24
04/26/19,145.76
04/29/19,146.05
04/30/19,145.29
05/02/19,143.13
05/03/19,142.32
05/06/19,139.26
05/07/19,134.77
05/08/19,137.11
05/09/19,133.82
05/10/19,133.86
05/13/19,130.52
05/14/19,134.2
05/15/19,135.44
05/16/19,136.73
05/17/19,135.3
05/20/19,131.9
05/21/19,134.29
05/22/19,132.48
05/23/19,129.23
05/24/19,131.19
05/27/19,130.14
05/28/19,131.9
05/29/19,129.51
05/31/19,126.89
06/03/19,127.84
06/04/19,130.42
06/05/19,129.47
06/07/19,132.09
06/10/19,133.48
06/11/19,135.87
06/12/19,134.72
06/13/19,134.77
06/14/19,134.72
06/17/19,134.44
06/18/19,138.16
06/19/19,139.55
06/20/19,142.85
06/24/19,139.88
06/25/19,139.93
06/26/19,139.65
06/27/19,140.12
06/28/19,140.84
07/01/19,144.09
07/02/19,144.14
07/03/19,143.8
07/04/19,144.04
07/05/19,140.51
07/08/19,141.27
07/09/19,140.03
